visit_id,confirm_count,start_count,step_1_count,step_2_count,step_3_count,confirm_time,start_time,step_1_time,step_2_time,step_3_time,client_id,visitor_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
400020978_49381236914_964151,0,1,1,1,1,0.0,205.0,184.0,38.0,218.0,7997482,537055795_85592240411,22.0,271.0,66.5,F,2.0,199349.32,2.0,6.0
400052788_99588223725_870605,0,1,2,1,0,0.0,31.0,101.5,36.0,0.0,1722501,74972925_4887617257,6.0,75.0,28.0,U,2.0,71490.92,4.0,7.0
400093978_18852264300_497126,0,1,0,0,0,0.0,22.0,0.0,0.0,0.0,410623,651571617_8215076106,18.0,225.0,63.0,M,2.0,125972.47,2.0,5.0
400183608_67913149333_45420,0,1,0,0,0,0.0,29.0,0.0,0.0,0.0,2105948,111894218_79248359000,6.0,74.0,61.5,U,2.0,39795.28,1.0,4.0
400229377_75880887583_77879,0,1,0,0,0,0.0,62.0,0.0,0.0,0.0,8992067,730749993_76044284929,20.0,249.0,57.0,F,2.0,213677.8,5.0,8.0
400242103_38013923763_823702,0,3,0,0,0,0.0,69.66666666666667,0.0,0.0,0.0,3813598,715134556_3689324169,21.0,253.0,53.5,M,3.0,171684.96999999997,6.0,9.0
400245735_77049563485_463994,0,2,2,1,0,0.0,13.0,41.0,53.0,0.0,6525738,184632721_9740365822,5.0,66.0,38.0,U,2.0,46242.52,4.0,7.0
40038700_18706788745_180770,0,1,1,1,1,0.0,36.0,75.0,111.0,75.0,4284358,369957608_67571178387,13.0,159.0,57.5,M,2.0,652624.99,1.0,4.0
400393108_15952824836_251290,0,3,0,0,0,0.0,24.333333333333332,0.0,0.0,0.0,6312687,263096404_80760764803,15.0,189.0,35.0,M,2.0,24173.13,4.0,7.0
400396688_49739150501_921658,0,1,1,1,1,0.0,25.0,33.0,41.0,52.0,5733085,499534864_70686220980,6.0,73.0,42.5,F,3.0,49829.61,5.0,8.0
